_id,id,name,has_lights,park,field_usage,goal_post,infield_type,left_field_distance,center_field_distance,right_field_distance,backstop,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
47,2120791036,Joe Natoli Field 2,True,Joe Natoli Park,Diamond and Rectangular,0,Skinned,265,360,237,NA,Morningside,7,10,42003101400,2,10,5,3-7,40.48372853,-79.92583066
48,1492586226,Joe Natoli Field 3,True,Joe Natoli Park,Diamond and Rectangular,0,Grass,130,130,130,NA,Morningside,7,10,42003101400,2,10,5,3-7,40.48408182,-79.92633375
1,1914615260,Arlington Field 1,True,Arlington Park,Diamond Only,0,Skinned,160,230,290,NA,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41831418,-79.97500679
2,1151740179,Armstrong,False,Armstrong Park,Diamond and Rectangular,0,Skinned,240,163,122,NA,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42807417,-79.98566223
3,971009139,Bandbox,False,Arsenal Park,Diamond Only,0,Skinned,135,200,150,NA,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46633089,-79.96129932
4,1581124728,Banksville,False,Banksville Park,Diamond Only,0,Skinned,304,354,373,NA,Banksville,2,20,42003202300,5,20,6,4-9,40.41392315,-80.03993982
5,1052125703,Banksville School,True,Banksville School Park,Diamond Only,0,Skinned,180,175,185,NA,Banksville,2,20,42003202300,5,20,6,4-9,40.40705882,-80.03787026
6,491692062,Bigbee,False,Emerald View Park - Bigbee Field,Rectangular Only,0,N/A,N/A,N/A,N/A,NA,Allentown,3,18,42003180300,5,18,3,4-5,40.42784896,-80.00122333
50,1332658922,John McGrane Field 2,True,Leslie Park,Diamond and Rectangular,0,Skinned,350,285,260,NA,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.47244049,-79.95738627
51,1216858315,Josh Gibson Field 1,True,Ammon Park,Diamond Only,0,Grass with Skinned Baselines,270,290,220,NA,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44967795,-79.97791071
52,1148246855,Josh Gibson Field 2,True,Ammon Park,Diamond Only,0,Grass with Skinned Baselines,270,290,220,NA,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44951792,-79.97849941
53,1846713475,Kennard,True,Kennard Park,Diamond and Rectangular,1,Skinned,415,405,295,NA,Terrace Village,6,5,42003051000,3,5,2,2-10,40.44226402,-79.97303532
54,69555597,Larimer,False,Larimer Park,Rectangular Only,0,N/A,N/A,N/A,N/A,NA,Larimer,9,12,42003120400,2,12,5,3-12,40.46630821,-79.91315032
17,238269429,Chartiers,True,Chartiers Park,Diamond Only,0,Skinned,305,375,375,NA,Windgap,2,28,42003563000,5,28,6,1-16,40.45699572,-80.07407273
